date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:48	201854/201854	---M-Z	200	added ('OK')	text/html	etag:%223147e-607430ca589f5-gzip%22	https://themesbrand.com/borex-symfony/layouts/dashboard-crypto.html	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/dashboard-crypto.html	(from )
13:59:48	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-607430e6e63c6%22	https://themesbrand.com/robots.txt		(from )
13:59:49	102775/102775	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2219177-607430c9f7f12%22	https://themesbrand.com/borex-symfony/layouts/assets/images/favicon.ico	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/favicon.ico	(from https://themesbrand.com/borex-symfony/layouts/dashboard-crypto.html)
13:59:49	239354/239354	---M-Z	200	added ('OK')	text/css	etag:%223a6fa-607430c9d9ab2-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/css/bootstrap.min.css	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/css/bootstrap.min.css	(from https://themesbrand.com/borex-symfony/layouts/dashboard-crypto.html)
13:59:49	361739/361739	---MCZ	200	added ('OK')	text/css	etag:%225850b-607430c9e0812-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/css/icons.min.css	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/css/icons.min.css	(from https://themesbrand.com/borex-symfony/layouts/dashboard-crypto.html)
13:59:49	134401/134401	---M-Z	200	added ('OK')	text/css	etag:%2220d01-607430c9d7b71-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/css/app.min.css	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/css/app.min.css	(from https://themesbrand.com/borex-symfony/layouts/dashboard-crypto.html)
13:59:49	196002/196002	---M-Z	200	added ('OK')	text/html	etag:%222fda2-607430ca65515-gzip%22	https://themesbrand.com/borex-symfony/layouts/index.html	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/index.html	(from https://themesbrand.com/borex-symfony/layouts/dashboard-crypto.html)
13:59:49	6198/6198	---M--	200	added ('OK')	image/png	etag:%221836-607430c9f7f12%22	https://themesbrand.com/borex-symfony/layouts/assets/images/logo-dark-sm.png	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/logo-dark-sm.png	(from https://themesbrand.com/borex-symfony/layouts/dashboard-crypto.html)
13:59:50	11617/11617	---M--	200	added ('OK')	image/png	etag:%222d61-607430c9f7f12%22	https://themesbrand.com/borex-symfony/layouts/assets/images/logo-light.png	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/logo-light.png	(from https://themesbrand.com/borex-symfony/layouts/dashboard-crypto.html)
13:59:50	5572/5572	---M--	200	added ('OK')	image/png	etag:%2215c4-607430c9f7f12%22	https://themesbrand.com/borex-symfony/layouts/assets/images/logo-light-sm.png	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/logo-light-sm.png	(from https://themesbrand.com/borex-symfony/layouts/dashboard-crypto.html)
13:59:50	1242/1242	---M--	200	added ('OK')	image/jpeg	etag:%224da-607430c9f7f12%22	https://themesbrand.com/borex-symfony/layouts/assets/images/flags/us.jpg	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/flags/us.jpg	(from https://themesbrand.com/borex-symfony/layouts/dashboard-crypto.html)
